Generation,Cohesion,Alignment,Separation,Fitness
19,36.69177139200001,0.05583457484800002,0.21743271936000008,0.5999430895168402
20,52.836150804480006,0.05360119185408002,0.4696546738176002,0.9998953378817873
20,44.030125670400004,0.04466765987840002,0.39137889484800015,0.9998543681792368
20,44.030125670400004,0.04466765987840002,0.39137889484800015,0.9998341218156865
20,66.0451885056,0.04466765987840002,0.39137889484800015,0.9997133137124793
20,35.22410053632,0.05360119185408002,0.3131031158784001,0.9995947234948684
20,55.037657088,0.08375186227200003,0.3261490790400001,0.9994540192862041
20,44.030125670400004,0.10050223472640003,0.39137889484800015,0.9993979854142186
20,44.030125670400004,0.06700148981760003,0.39137889484800015,0.9990206223146022
20,44.030125670400004,0.06700148981760003,0.39137889484800015,0.9988858860985942
20,55.037657088,0.05583457484800002,0.3261490790400001,0.9987007424345771
20,66.0451885056,0.06700148981760003,0.39137889484800015,0.9981407900539624
20,35.22410053632,0.08040178778112003,0.4696546738176002,0.9980580765374346
20,52.836150804480006,0.08040178778112003,0.3131031158784001,0.9980061878903992
